Last Name,First Name,Tm,Lg,G,GS,Rtot,Pos Summary
Alfonzo,Edgardo,SFG,NL,133,127,-3.0,3B-2B
Alou,Moises,CHC,NL,154,152,-11.0,OF
Bagwell,Jeff,HOU,NL,152,151,6.0,1B
Baldelli,Rocco,TBD,AL,124,120,-6.0,OF
Barrett,Michael,CHC,NL,130,119,-3.0,C
Batista,Tony,MON,NL,155,149,5.0,3B
Bautista,Danny,ARI,NL,137,137,-8.0,OF
Bell,David,PHI,NL,142,141,13.0,3B
Belliard,Ronnie,CLE,AL,151,148,-3.0,2B
Beltré,Adrián,LAD,NL,155,154,29.0,3B-SS
Berroa,Angel,KCR,AL,133,132,-10.0,SS
Biggio,Craig,HOU,NL,149,149,-15.0,OF
Blake,Casey,CLE,AL,152,151,-12.0,3B-1B
Boone,Bret,SEA,AL,148,148,-11.0,2B
Burrell,Pat,PHI,NL,122,121,1.0,OF
Byrnes,Eric,OAK,AL,141,137,9.0,OF
Cabrera,Miguel,FLA,NL,158,158,-10.0,OF
Cabrera,Orlando,TOT,ZZ,158,157,0.0,SS
Cameron,Mike,NYM,NL,135,132,-2.0,OF
Castilla,Vinny,COL,NL,148,147,17.0,3B
Clayton,Royce,COL,NL,144,140,-7.0,SS
Conine,Jeff,FLA,NL,138,138,14.0,OF-1B
Crede,Joe,CHW,AL,144,142,-9.0,3B
Crosby,Bobby,OAK,AL,151,151,-8.0,SS
Dye,Jermaine,OAK,AL,134,132,6.0,OF
Eckstein,David,ANA,AL,138,136,0.0,SS
Encarnacion,Juan,TOT,NL,133,131,1.0,OF
Feliz,Pedro,SFG,NL,127,110,7.0,1B-3B-SS-OF
Ford,Lew,MIN,AL,126,121,6.0,OF
Freel,Ryan,CIN,NL,137,128,1.0,OF-3B-2B
Greene,Khalil,SDP,NL,136,134,7.0,SS
Grissom,Marquis,SFG,NL,142,138,5.0,OF
Guerrero,Vladimir,ANA,AL,143,143,6.0,OF
Guillen,Jose,ANA,AL,136,136,-5.0,OF
Hidalgo,Richard,TOT,NL,142,137,1.0,OF
Hillenbrand,Shea,ARI,NL,146,144,4.0,1B-3B
Hunter,Torii,MIN,AL,126,124,-5.0,OF
Infante,Omar,DET,AL,140,123,-4.0,2B-SS-OF-3B
Jeter,Derek,NYY,AL,154,154,5.0,SS
Johnson,Reed,TOR,AL,137,123,-7.0,OF
Jones,Andruw,ATL,NL,154,153,17.0,OF
Kendall,Jason,PIT,NL,146,145,5.0,C
Kent,Jeff,HOU,NL,139,138,2.0,2B
Konerko,Paul,CHW,AL,139,137,-12.0,1B
Lee,Carlos,CHW,AL,148,148,4.0,OF
Lee,Derrek,CHC,NL,161,159,3.0,1B
Lieberthal,Mike,PHI,NL,129,123,-4.0,C
Lopez,Javy,BAL,AL,132,125,-5.0,C
Loretta,Mark,SDP,NL,154,154,1.0,2B
Lowell,Mike,FLA,NL,154,153,4.0,3B
Lo Duca,Paul,TOT,NL,139,135,-3.0,C-OF-1B
Lugo,Julio,TBD,AL,151,150,11.0,SS-2B
Millar,Kevin,BOS,AL,137,132,-7.0,OF-1B
Mora,Melvin,BAL,AL,137,137,-15.0,3B-SS
Nevin,Phil,SDP,NL,144,142,-4.0,1B-C
Payton,Jay,SDP,NL,137,115,17.0,OF
Polanco,Placido,PHI,NL,120,116,8.0,2B-3B
Pujols,Albert,STL,NL,150,150,15.0,1B
Ramirez,Aramis,CHC,NL,144,141,1.0,3B
Ramirez,Manny,BOS,AL,132,132,-11.0,OF
Randa,Joe,KCR,AL,121,120,5.0,3B-1B
Renteria,Edgar,STL,NL,149,148,7.0,SS
Rodriguez,Alex,NYY,AL,155,155,3.0,3B-SS
Rodriguez,Ivan,DET,AL,124,123,-3.0,C
Rolen,Scott,STL,NL,141,139,27.0,3B
Rowand,Aaron,CHW,AL,137,122,8.0,OF
Sheffield,Gary,NYY,AL,136,136,-11.0,OF-3B
Soriano,Alfonso,TEX,AL,142,142,-20.0,2B
Sosa,Sammy,CHC,NL,124,124,6.0,OF
Tejada,Miguel,BAL,AL,162,162,2.0,SS
Uribe,Juan,CHW,AL,130,121,4.0,2B-SS-3B
Wells,Vernon,TOR,AL,131,130,-6.0,OF
Wigginton,Ty,TOT,NL,141,131,-7.0,3B-2B-1B
Wilson,Craig,PIT,NL,151,148,-16.0,OF-1B-C
Wilson,Jack,PIT,NL,156,155,8.0,SS
Young,Michael,TEX,AL,158,158,-25.0,SS
