,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos
0,,,,,,,,,,,,158.0,157.0,-16.0,OF
2,Abreu,Bobby,4.0,PHI,NL,713.0,30.0,105.0,40.0,0.301,0.971,,,,
5,,,,,,,,,,,,133.0,127.0,-3.0,3B-2B
9,,,,,,,,,,,,154.0,152.0,-11.0,OF
13,Alfonzo,Edgardo,16.0,SFG,NL,576.0,11.0,77.0,1.0,0.289,0.757,,,,
19,Alou,Moises,24.0,CHC,NL,675.0,39.0,106.0,3.0,0.293,0.919,152.0,151.0,6.0,1B
21,,,,,,,,,,,,124.0,120.0,-6.0,OF
25,,,,,,,,,,,,130.0,119.0,-3.0,C
27,,,,,,,,,,,,155.0,149.0,5.0,3B
28,,,,,,,,,,,,137.0,137.0,-8.0,OF
31,,,,,,,,,,,,142.0,141.0,13.0,3B
32,,,,,,,,,,,,136.0,132.0,4.0,2B-3B-SS
33,,,,,,,,,,,,151.0,148.0,-3.0,2B
34,,,,,,,,,,,,158.0,157.0,-5.0,OF
35,,,,,,,,,,,,155.0,154.0,29.0,3B-SS
39,Bagwell,Jeff,49.0,HOU,NL,679.0,27.0,89.0,6.0,0.266,0.842,,,,
40,,,,,,,,,,,,160.0,158.0,-3.0,OF-1B
41,Baldelli,Rocco,51.0,TBD,AL,565.0,16.0,74.0,17.0,0.28,0.762,133.0,132.0,-10.0,SS
43,,,,,,,,,,,,134.0,131.0,-3.0,OF
44,,,,,,,,,,,,149.0,149.0,-15.0,OF
45,,,,,,,,,,,,152.0,151.0,-12.0,3B-1B
46,,,,,,,,,,,,159.0,154.0,1.0,3B
47,Barrett,Michael,57.0,CHC,NL,506.0,16.0,65.0,1.0,0.287,0.826,,,,
51,Batista,Tony,61.0,MON,NL,650.0,32.0,110.0,14.0,0.241,0.728,,,,
52,,,,,,,,,,,,133.0,132.0,2.0,OF
53,Bautista,Danny,63.0,ARI,NL,582.0,11.0,65.0,6.0,0.286,0.733,148.0,148.0,-11.0,2B
57,,,,,,,,,,,,138.0,137.0,15.0,OF
60,Bell,David,74.0,PHI,NL,603.0,18.0,77.0,1.0,0.291,0.821,,,,
63,Bellhorn,Mark,77.0,BOS,AL,620.0,17.0,82.0,6.0,0.264,0.817,,,,
64,Belliard,Ronnie,78.0,CLE,AL,663.0,12.0,70.0,3.0,0.282,0.774,,,,
67,Beltrán,Carlos,79.0,TOT,MLB,708.0,38.0,104.0,42.0,0.267,0.915,,,,
68,Beltré,Adrián,86.0,LAD,NL,657.0,48.0,121.0,7.0,0.334,1.017,,,,
70,,,,,,,,,,,,143.0,137.0,-9.0,OF
71,,,,,,,,,,,,122.0,121.0,1.0,OF
72,,,,,,,,,,,,125.0,119.0,-4.0,3B
75,,,,,,,,,,,,141.0,137.0,9.0,OF
77,,,,,,,,,,,,158.0,158.0,-10.0,OF
78,Berkman,Lance,98.0,HOU,NL,687.0,30.0,106.0,9.0,0.316,1.016,158.0,157.0,0.0,SS
80,Berroa,Angel,100.0,KCR,AL,554.0,8.0,43.0,14.0,0.262,0.693,,,,
81,,,,,,,,,,,,135.0,132.0,-2.0,OF
84,,,,,,,,,,,,145.0,142.0,4.0,1B
85,Bigbie,Larry,105.0,BAL,AL,531.0,15.0,68.0,8.0,0.28,0.768,,,,
86,Biggio,Craig,106.0,HOU,NL,700.0,24.0,63.0,7.0,0.281,0.806,148.0,147.0,17.0,3B
87,Blake,Casey,107.0,CLE,AL,668.0,28.0,88.0,5.0,0.271,0.839,,,,
88,Blalock,Hank,108.0,TEX,AL,713.0,32.0,110.0,2.0,0.276,0.855,,,,
89,,,,,,,,,,,,148.0,147.0,17.0,2B
96,Bonds,Barry,116.0,SFG,NL,617.0,45.0,101.0,6.0,0.362,1.422,127.0,122.0,15.0,OF
97,,,,,,,,,,,,125.0,125.0,15.0,3B-OF
98,Boone,Bret,118.0,SEA,AL,658.0,24.0,83.0,10.0,0.251,0.74,,,,
102,,,,,,,,,,,,148.0,142.0,7.0,SS-2B-3B
107,Bradley,Milton,129.0,LAD,NL,597.0,19.0,67.0,15.0,0.267,0.786,,,,
108,,,,,,,,,,,,144.0,140.0,-7.0,SS
112,,,,,,,,,,,,138.0,138.0,14.0,OF-1B
117,,,,,,,,,,,,130.0,128.0,5.0,SS-3B
118,,,,,,,,,,,,145.0,140.0,16.0,OF
119,,,,,,,,,,,,144.0,142.0,-9.0,3B
121,,,,,,,,,,,,128.0,121.0,4.0,OF
122,,,,,,,,,,,,151.0,151.0,-8.0,SS
127,,,,,,,,,,,,152.0,148.0,18.0,OF
132,,,,,,,,,,,,148.0,145.0,-3.0,OF
133,Burnitz,Jeromy,161.0,COL,NL,606.0,37.0,110.0,5.0,0.283,0.916,,,,
134,Burrell,Pat,162.0,PHI,NL,534.0,24.0,84.0,2.0,0.257,0.821,,,,
135,Burroughs,Sean,163.0,SDP,NL,564.0,2.0,47.0,5.0,0.298,0.713,,,,
139,,,,,,,,,,,,120.0,120.0,5.0,1B
141,Byrnes,Eric,169.0,OAK,AL,632.0,20.0,73.0,17.0,0.283,0.814,,,,
145,Cabrera,Miguel,172.0,FLA,NL,685.0,33.0,112.0,5.0,0.294,0.879,,,,
146,Cabrera,Orlando,173.0,TOT,MLB,673.0,10.0,62.0,16.0,0.264,0.689,,,,
148,,,,,,,,,,,,142.0,142.0,10.0,OF
151,Cameron,Mike,180.0,NYM,NL,562.0,30.0,76.0,22.0,0.231,0.798,158.0,155.0,6.0,OF-1B
155,,,,,,,,,,,,134.0,132.0,6.0,OF
158,,,,,,,,,,,,138.0,136.0,0.0,SS
159,,,,,,,,,,,,147.0,142.0,13.0,OF-1B
160,Casey,Sean,189.0,CIN,NL,633.0,24.0,99.0,2.0,0.324,0.915,,,,
161,,,,,,,,,,,,133.0,131.0,1.0,OF
162,Castilla,Vinny,191.0,COL,NL,648.0,35.0,131.0,0.0,0.271,0.867,,,,
164,,,,,,,,,,,,124.0,124.0,-1.0,1B
165,Castillo,Luis,194.0,FLA,NL,649.0,2.0,47.0,21.0,0.291,0.72,,,,
168,,,,,,,,,,,,133.0,120.0,-5.0,C
171,,,,,,,,,,,,127.0,110.0,7.0,1B-3B-SS-OF
