Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos
Abreu,Bobby,4,PHI,NL,713,30,105,40,0.301,0.971,158,157,-16,OF
Alfonzo,Edgardo,16,SFG,NL,576,11,77,1,0.289,0.757,133,127,-3,3B-2B
Alou,Moises,24,CHC,NL,675,39,106,3,0.293,0.919,154,152,-11,OF
Bagwell,Jeff,49,HOU,NL,679,27,89,6,0.266,0.842,152,151,6,1B
Baldelli,Rocco,51,TBD,AL,565,16,74,17,0.28,0.762,124,120,-6,OF
Barrett,Michael,57,CHC,NL,506,16,65,1,0.287,0.826,130,119,-3,C
Batista,Tony,61,MON,NL,650,32,110,14,0.241,0.728,155,149,5,3B
Bautista,Danny,63,ARI,NL,582,11,65,6,0.286,0.733,137,137,-8,OF
Bell,David,74,PHI,NL,603,18,77,1,0.291,0.821,142,141,13,3B
Bellhorn,Mark,77,BOS,AL,620,17,82,6,0.264,0.817,136,132,4,2B-3B-SS
Belliard,Ronnie,78,CLE,AL,663,12,70,3,0.282,0.774,151,148,-3,2B
Beltrán,Carlos,79,TOT,MLB,708,38,104,42,0.267,0.915,158,157,-5,OF
Beltré,Adrián,86,LAD,NL,657,48,121,7,0.334,1.017,155,154,29,3B-SS
Berkman,Lance,98,HOU,NL,687,30,106,9,0.316,1.016,160,158,-3,OF-1B
Berroa,Angel,100,KCR,AL,554,8,43,14,0.262,0.693,133,132,-10,SS
Bigbie,Larry,105,BAL,AL,531,15,68,8,0.28,0.768,134,131,-3,OF
Biggio,Craig,106,HOU,NL,700,24,63,7,0.281,0.806,149,149,-15,OF
Blake,Casey,107,CLE,AL,668,28,88,5,0.271,0.839,152,151,-12,3B-1B
Blalock,Hank,108,TEX,AL,713,32,110,2,0.276,0.855,159,154,1,3B
Bonds,Barry,116,SFG,NL,617,45,101,6,0.362,1.422,133,132,2,OF
Boone,Bret,118,SEA,AL,658,24,83,10,0.251,0.74,148,148,-11,2B
Bradley,Milton,129,LAD,NL,597,19,67,15,0.267,0.786,138,137,15,OF
Burnitz,Jeromy,161,COL,NL,606,37,110,5,0.283,0.916,143,137,-9,OF
Burrell,Pat,162,PHI,NL,534,24,84,2,0.257,0.821,122,121,1,OF
Burroughs,Sean,163,SDP,NL,564,2,47,5,0.298,0.713,125,119,-4,3B
Byrnes,Eric,169,OAK,AL,632,20,73,17,0.283,0.814,141,137,9,OF
Cabrera,Miguel,172,FLA,NL,685,33,112,5,0.294,0.879,158,158,-10,OF
Cabrera,Orlando,173,TOT,MLB,673,10,62,16,0.264,0.689,158,157,0,SS
Cameron,Mike,180,NYM,NL,562,30,76,22,0.231,0.798,135,132,-2,OF
Casey,Sean,189,CIN,NL,633,24,99,2,0.324,0.915,145,142,4,1B
Castilla,Vinny,191,COL,NL,648,35,131,0,0.271,0.867,148,147,17,3B
Castillo,Luis,194,FLA,NL,649,2,47,21,0.291,0.72,148,147,17,2B
Chavez,Endy,203,MON,NL,547,5,34,32,0.277,0.688,127,122,15,OF
Chavez,Eric,204,OAK,AL,577,29,77,6,0.276,0.898,125,125,15,3B-OF
Cintron,Alex,214,ARI,NL,613,4,49,3,0.262,0.665,148,142,7,SS-2B-3B
Clayton,Royce,221,COL,NL,652,8,54,10,0.279,0.735,144,140,-7,SS
Conine,Jeff,231,FLA,NL,579,14,83,5,0.28,0.772,138,138,14,OF-1B
Counsell,Craig,248,MIL,NL,551,2,23,17,0.241,0.645,130,128,5,SS-3B
Crawford,Carl,249,TBD,AL,672,11,55,59,0.296,0.781,145,140,16,OF
