Last Name,First Name,Tm,Lg,G,GS,Rtot,Pos Summary
Abreu,Bobby,PHI,NL,158,157,-16.0,OF
Adams,Russ,TOR,AL,21,18,-1.0,SS
Aguila,Chris,FLA,NL,20,7,-1.0,OF
Alexander,Manny,TEX,AL,21,5,0.0,SS-2B-3B
Alfaro,Jason,HOU,NL,3,2,0.0,SS
Alfonzo,Edgardo,SFG,NL,133,127,-3.0,3B-2B
Allen,Chad,TEX,AL,13,11,0.0,OF
Alomar,Roberto,TOT,ZZ,41,36,-4.0,2B
Alomar,Sandy,CHW,AL,49,46,3.0,C
Alou,Moises,CHC,NL,154,152,-11.0,OF
Alvarez,Tony,PIT,NL,16,10,-1.0,OF
Amezaga,Alfredo,ANA,AL,71,22,3.0,SS-3B-2B
Anderson,Garret,ANA,AL,94,92,-7.0,OF
Anderson,Marlon,STL,NL,72,49,-3.0,2B-OF-1B
Ardoin,Danny,TEX,AL,6,2,-1.0,C
Atkins,Garrett,COL,NL,10,7,1.0,3B-1B-OF
Aurilia,Rich,TOT,MLB,114,105,-5.0,SS-3B-2B-1B
Ausmus,Brad,HOU,NL,128,114,2.0,C
Baerga,Carlos,ARI,NL,6,4,1.0,1B
Bagwell,Jeff,HOU,NL,152,151,6.0,1B
Bako,Paul,CHC,NL,47,43,1.0,C
Baldelli,Rocco,TBD,AL,124,120,-6.0,OF
Barajas,Rod,TEX,AL,107,102,5.0,C-1B
Bard,Josh,CLE,AL,7,6,0.0,C
Barmes,Clint,COL,NL,18,17,2.0,SS-2B
Barrett,Michael,CHC,NL,130,119,-3.0,C
Bartlett,Jason,MIN,AL,6,2,-1.0,SS-2B
Batista,Tony,MON,NL,155,149,5.0,3B
Bautista,Danny,ARI,NL,137,137,-8.0,OF
Bautista,José,TOT,MLB,44,20,-2.0,OF-3B
Bay,Jason,PIT,NL,119,110,-3.0,OF
Bell,David,PHI,NL,142,141,13.0,3B
Bellhorn,Mark,BOS,AL,136,132,4.0,2B-3B-SS
Belliard,Ronnie,CLE,AL,151,148,-3.0,2B
Beltrán,Carlos,TOT,ZZ,158,157,-5.0,OF
Beltré,Adrián,LAD,NL,155,154,29.0,3B-SS
Bennett,Gary,MIL,NL,75,65,-1.0,C
Berg,Dave,TOR,AL,45,34,-7.0,OF-1B-2B-3B
Berger,Brandon,KCR,AL,11,9,1.0,OF
