Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS
Aardsma,David,1,SFG,NL,0,0,0,0,,
Abbott,Paul,2,TOT,MLB,14,0,2,0,0.182,0.364
Abreu*,Bobby,4,PHI,NL,713,30,105,40,0.301,0.971
Acevedo,Jose,5,CIN,NL,52,0,1,0,0.047,0.153
Adams,Mike,6,MIL,NL,0,0,0,0,,
Adams,Terry,8,TOT,AL,0,0,0,0,,
Adams*,Russ,7,TOR,AL,78,4,10,1,0.306,0.887
Adkins*,Jon,10,CHW,AL,0,0,0,0,,
Affeldt*,Jeremy,11,KCR,AL,0,0,0,0,,
Aguila,Chris,12,FLA,NL,48,3,5,0,0.222,0.766
Alexander,Manny,13,TEX,AL,22,0,3,0,0.238,0.606
Alfaro,Jason,14,HOU,NL,12,0,0,0,0.182,0.364
Alfonseca,Antonio,15,ATL,NL,1,0,0,0,0.0,0.0
Alfonzo,Edgardo,16,SFG,NL,576,11,77,1,0.289,0.757
Allen,Chad,17,TEX,AL,63,0,6,0,0.241,0.607
Almanza*,Armando,18,ATL,NL,1,0,0,0,,
Almanzar,Carlos,19,TEX,AL,0,0,0,0,,
Alomar,Sandy,23,CHW,AL,164,2,14,0,0.24,0.606
Alomar#,Roberto,20,TOT,MLB,190,4,24,0,0.263,0.713
Alou,Moises,24,CHC,NL,675,39,106,3,0.293,0.919
Alvarez,Tony,25,PIT,NL,45,1,8,0,0.211,0.631
Alvarez*,Wilson,26,LAD,NL,34,0,0,0,0.161,0.349
Amezaga#,Alfredo,27,ANA,AL,105,2,11,3,0.161,0.459
Anderson#,Brian,28,KCR,AL,2,0,0,0,0.0,0.0
Anderson*,Garret,29,ANA,AL,475,14,75,2,0.301,0.789
Anderson*,Jimmy,30,TOT,MLB,1,0,0,0,0.0,0.0
Anderson*,Marlon,33,STL,NL,271,8,28,6,0.237,0.649
Ankiel*,Rick,34,STL,NL,2,0,0,0,0.0,0.5
Aquino,Greg,35,ARI,NL,1,0,0,0,0.0,0.0
Ardoin,Danny,36,TEX,AL,11,0,1,0,0.125,0.489
Armas,Tony,37,MON,NL,21,0,0,0,0.0,0.0
Arroyo,Bronson,38,BOS,AL,7,0,0,0,0.0,0.0
Ashby,Andy,39,SDP,NL,0,0,0,0,,
Atkins,Garrett,40,COL,NL,33,1,8,0,0.357,0.96
Aurilia,Rich,41,TOT,MLB,450,6,44,1,0.246,0.667
Ausmus,Brad,44,HOU,NL,448,5,31,2,0.248,0.631
Ayala,Luis,45,MON,NL,10,0,0,0,0.333,0.778
Backe,Brandon,46,HOU,NL,21,1,6,0,0.313,0.889
Baerga#,Carlos,47,ARI,NL,94,2,11,0,0.235,0.638
Bagwell,Jeff,49,HOU,NL,679,27,89,6,0.266,0.842
Bako*,Paul,50,CHC,NL,157,1,10,1,0.203,0.571
Baldelli,Rocco,51,TBD,AL,565,16,74,17,0.28,0.762
Baldwin,James,52,NYM,NL,2,0,0,0,0.0,0.0
Balfour,Grant,53,MIN,AL,0,0,0,0,,
Barajas,Rod,54,TEX,AL,389,15,58,0,0.249,0.728
Bard#,Josh,55,CLE,AL,23,1,4,0,0.421,1.162
Barmes,Clint,56,COL,NL,77,2,10,0,0.282,0.757
Barrett,Michael,57,CHC,NL,506,16,65,1,0.287,0.826
Bartlett,Jason,58,MIN,AL,14,0,1,2,0.083,0.237
Bartosh*,Cliff,59,CLE,AL,0,0,0,0,,
Batista,Miguel,60,TOR,AL,5,0,0,0,0.0,0.0
Batista,Tony,61,MON,NL,650,32,110,14,0.241,0.728
Bauer,Rick,62,BAL,AL,0,0,0,0,,
Bautista,Danny,63,ARI,NL,582,11,65,6,0.286,0.733
Bautista,José,64,TOT,MLB,96,0,2,0,0.205,0.502
Bautista,José,65,TOT,AL,53,0,2,0,0.208,0.512
Bay,Jason,70,PIT,NL,472,26,82,4,0.282,0.907
Beck,Rod,71,SDP,NL,0,0,0,0,,
Beckett,Josh,72,FLA,NL,55,0,2,0,0.159,0.377
Bedard*,Erik,73,BAL,AL,5,0,0,0,0.0,0.2
Bell,David,74,PHI,NL,603,18,77,1,0.291,0.821
Bell,Heath,75,NYM,NL,1,0,0,0,0.0,0.0
Bell,Rob,76,TBD,AL,5,0,0,0,0.2,0.6
Bellhorn#,Mark,77,BOS,AL,620,17,82,6,0.264,0.817
Belliard,Ronnie,78,CLE,AL,663,12,70,3,0.282,0.774
Beltran,Francis,82,TOT,NL,3,0,0,0,0.333,0.667
Beltran*,Rigo,85,MON,NL,0,0,0,0,,
Beltrán#,Carlos,79,TOT,MLB,708,38,104,42,0.267,0.915
Beltré,Adrián,86,LAD,NL,657,48,121,7,0.334,1.017
Benitez,Armando,87,FLA,NL,1,0,0,0,0.0,0.0
Bennett,Gary,88,MIL,NL,246,3,20,1,0.224,0.626
Bennett,Jeff,89,MIL,NL,2,0,0,0,0.0,0.0
Benoit,Joaquín,90,TEX,AL,6,0,0,0,0.0,0.0
Benson,Kris,91,TOT,NL,75,0,5,0,0.138,0.305
Bentz,Chad,94,MON,NL,2,0,0,0,0.5,1.0
Berg,Dave,95,TOR,AL,162,3,23,0,0.253,0.615
Berger,Brandon,96,KCR,AL,36,0,2,1,0.2,0.457
Bergeron*,Peter,97,MON,NL,45,0,1,0,0.214,0.464
Berkman#,Lance,98,HOU,NL,687,30,106,9,0.316,1.016
Bernero,Adam,99,COL,NL,6,0,0,0,0.0,0.0
Berroa,Angel,100,KCR,AL,554,8,43,14,0.262,0.693
Betancourt,Rafael,101,CLE,AL,0,0,0,0,,
Betemit#,Wilson,102,ATL,NL,52,0,3,0,0.17,0.401
Biddle,Rocky,103,MON,NL,14,0,0,0,0.0,0.0
Bierbrodt*,Nick,104,TEX,AL,3,0,0,0,0.0,0.0
Bigbie*,Larry,105,BAL,AL,531,15,68,8,0.28,0.768
Biggio,Craig,106,HOU,NL,700,24,63,7,0.281,0.806
Blake,Casey,107,CLE,AL,668,28,88,5,0.271,0.839
Blalock*,Hank,108,TEX,AL,713,32,110,2,0.276,0.855
Blanco,Henry,110,MIN,AL,353,10,37,0,0.206,0.628
Blanco#,Andrés,109,KCR,AL,67,0,5,1,0.317,0.795
Bloomquist,Willie,111,SEA,AL,201,2,18,13,0.245,0.613
Blum#,Geoff,112,TBD,AL,369,8,35,2,0.215,0.614
Bocachica,Hiram,113,SEA,AL,107,3,6,5,0.244,0.737
Boehringer#,Brian,114,PIT,NL,1,0,0,0,0.0,0.0
Bonderman,Jeremy,115,DET,AL,7,0,0,0,0.0,0.0
Bonds*,Barry,116,SFG,NL,617,45,101,6,0.362,1.422
Bong*,Jung,117,CIN,NL,4,0,0,0,0.0,0.0
Boone,Bret,118,SEA,AL,658,24,83,10,0.251,0.74
Borchard#,Joe,119,CHW,AL,222,9,20,1,0.174,0.587
Borders,Pat,120,TOT,AL,99,1,10,3,0.232,0.574
Borland,Toby,123,FLA,NL,0,0,0,0,,
Borowski,Joe,124,CHC,NL,0,0,0,0,,
Bottalico*,Ricky,125,NYM,NL,2,0,0,0,0.0,0.0
Bowen#,Rob,126,MIN,AL,32,1,2,0,0.111,0.448
Boyd,Jason,127,PIT,NL,0,0,0,0,,
Bradford,Chad,128,OAK,AL,0,0,0,0,,
Bradley#,Milton,129,LAD,NL,597,19,67,15,0.267,0.786
Bragg*,Darren,130,TOT,NL,112,4,9,1,0.188,0.618
Branyan*,Russell,133,MIL,NL,182,11,27,1,0.234,0.849
Brazell*,Craig,134,NYM,NL,35,1,3,0,0.265,0.697
Brazelton,Dewon,135,TBD,AL,1,0,0,0,0.0,0.0
Brazoban,Yhency,136,LAD,NL,1,0,0,0,0.0,0.0
Brito,Juan,137,ARI,NL,184,3,12,1,0.205,0.544
Brocail*,Doug,138,TEX,AL,0,0,0,0,,
Brooks*,Frank,139,PIT,NL,1,0,0,0,0.0,0.0
Broussard*,Ben,140,CLE,AL,485,17,82,4,0.275,0.858
Brower,Jim,141,SFG,NL,3,0,0,0,0.5,1.167
Brown#,Adrian,142,KCR,AL,11,0,0,0,0.273,0.545
Brown*,Dee,143,KCR,AL,209,4,24,2,0.251,0.642
Bruney,Brian,144,ARI,NL,0,0,0,0,,
Bruntlett,Eric,145,HOU,NL,61,4,8,4,0.25,0.847
Buchanan,Brian,146,TOT,NL,72,2,6,0,0.19,0.595
Buck,John,149,KCR,AL,258,12,30,1,0.235,0.704
Buehrle*,Mark,150,CHW,AL,5,0,0,0,0.0,0.0
Bullinger,Kirk,151,HOU,NL,4,0,0,0,0.0,0.25
Bump*,Nate,152,FLA,NL,5,0,0,0,0.0,0.0
Burba,Dave,153,TOT,NL,4,0,0,0,0.0,0.0
Burke,Chris,156,HOU,NL,20,0,0,0,0.059,0.259
Burke,Jamie,157,CHW,AL,133,0,15,0,0.333,0.795
Burks,Ellis,158,BOS,AL,37,1,1,2,0.182,0.543
Burnett,A.J.,159,FLA,NL,37,0,1,0,0.138,0.276
Burnett*,Sean,160,PIT,NL,27,0,0,0,0.0,0.08
Burnitz*,Jeromy,161,COL,NL,606,37,110,5,0.283,0.916
Burrell,Pat,162,PHI,NL,534,24,84,2,0.257,0.821
Burroughs*,Sean,163,SDP,NL,564,2,47,5,0.298,0.713
Bush,Dave,164,TOR,AL,2,0,0,0,0.0,0.0
Bush,Homer,165,NYY,AL,8,0,0,1,0.0,0.125
Bynum*,Mike,166,SDP,NL,0,0,0,0,,
Byrd,Marlon,167,PHI,NL,378,5,33,2,0.228,0.608
Byrd,Paul,168,ATL,NL,43,0,4,0,0.2,0.514
Byrnes,Eric,169,OAK,AL,632,20,73,17,0.283,0.814
Báez,Danys,48,TBD,AL,0,0,0,0,,
Cabrera,Daniel,170,BAL,AL,4,0,0,0,0.0,0.0
Cabrera,Jolbert,171,SEA,AL,391,6,47,10,0.27,0.696
Cabrera,Miguel,172,FLA,NL,685,33,112,5,0.294,0.879
Cabrera,Orlando,173,TOT,MLB,673,10,62,16,0.264,0.689
Cairo,Miguel,176,NYY,AL,408,6,42,11,0.292,0.763
Calero,Kiko,177,STL,NL,1,0,0,0,0.0,0.0
Cali*,Carmen,178,STL,NL,0,0,0,0,,
Calloway*,Ron,179,MON,NL,91,1,10,2,0.167,0.437
Cameron,Mike,180,NYM,NL,562,30,76,22,0.231,0.798
Camp,Shawn,181,KCR,AL,0,0,0,0,,
Cantu,Jorge,182,TBD,AL,185,2,17,0,0.301,0.803
Capellan,Jose,183,ATL,NL,2,0,0,0,0.0,0.0
Capuano*,Chris,184,MIL,NL,32,0,2,0,0.2,0.517
Carpenter,Chris,185,STL,NL,67,0,1,0,0.081,0.176
Carrara,Giovanni,186,LAD,NL,2,0,0,0,0.0,0.0
Carroll,Jamey,187,MON,NL,256,0,16,5,0.289,0.75
Carter,Lance,188,TBD,AL,0,0,0,0,,
Casey*,Sean,189,CIN,NL,633,24,99,2,0.324,0.915
Cash,Kevin,190,TOR,AL,197,4,21,0,0.193,0.558
Castilla,Vinny,191,COL,NL,648,35,131,0,0.271,0.867
Castillo,Alberto,192,KCR,AL,105,1,11,0,0.27,0.736
Castillo,Jose,193,PIT,NL,414,8,39,3,0.256,0.666
Castillo#,Luis,194,FLA,NL,649,2,47,21,0.291,0.72
Castro,Juan,195,CIN,NL,316,5,26,1,0.244,0.655
Catalanotto*,Frank,198,TOR,AL,274,1,26,1,0.293,0.734
Cedeno#,Roger,199,STL,NL,223,3,23,5,0.265,0.702
Cepicky*,Matthew,200,MON,NL,61,1,3,1,0.217,0.563
Cerda*,Jaime,201,KCR,AL,0,0,0,0,,
Chacon,Shawn,202,COL,NL,0,0,0,0,,
Chavez,Raul,205,HOU,NL,176,0,23,0,0.21,0.515
Chavez*,Endy,203,MON,NL,547,5,34,32,0.277,0.688
Chavez*,Eric,204,OAK,AL,577,29,77,6,0.276,0.898
Chen,Chin-Feng,206,LAD,NL,10,0,0,0,0.0,0.2
Choate*,Randy,207,ARI,NL,1,0,0,0,0.0,0.0
Choi*,Hee-Seop,208,TOT,NL,416,15,46,1,0.251,0.819
Christiansen,Jason,211,SFG,NL,0,0,0,0,,
Chulk,Vinnie,212,TOR,AL,0,0,0,0,,
Church*,Ryan,213,MON,NL,71,1,6,0,0.175,0.495
Cintron#,Alex,214,ARI,NL,613,4,49,3,0.262,0.665
Cirillo,Jeff,215,SDP,NL,81,1,7,0,0.213,0.553
Clark,Brady,216,MIL,NL,420,7,46,15,0.28,0.782
Clark#,Tony,219,NYY,AL,283,16,49,0,0.221,0.755
Clark*,Howie,217,TOR,AL,133,3,12,0,0.217,0.64
Clark*,Jermaine,218,CIN,NL,34,0,2,1,0.133,0.379
Claussen,Brandon,220,CIN,NL,22,0,0,0,0.105,0.255
Clayton,Royce,221,COL,NL,652,8,54,10,0.279,0.735
Clemens,Roger,222,HOU,NL,78,0,7,0,0.167,0.381
Clement,Matt,223,CHC,NL,61,0,2,0,0.145,0.322
Closser#,JD,224,COL,NL,124,1,10,0,0.319,0.762
Colbrunn,Greg,225,ARI,NL,28,0,1,0,0.111,0.254
Collier,Lou,226,PHI,NL,42,1,4,1,0.278,0.77
Colome,Jesus,227,TBD,AL,2,0,0,0,0.0,0.0
Colon,Bartolo,228,ANA,AL,3,0,0,0,0.0,0.0
Colon,Roman,229,ATL,NL,0,0,0,0,,
Colyer*,Steve,230,DET,AL,0,0,0,0,,
Conine,Jeff,231,FLA,NL,579,14,83,5,0.28,0.772
Conti*,Jason,232,TEX,AL,60,0,4,0,0.182,0.486
Contreras,José,233,TOT,AL,8,0,0,0,0.0,0.0
Cook,Aaron,235,COL,NL,37,0,1,0,0.118,0.261
Cooper,Brian,236,SFG,NL,3,0,0,0,0.0,0.0
Cora*,Alex,237,LAD,NL,484,10,47,3,0.264,0.745
Corcoran,Roy,238,MON,NL,0,0,0,0,,
Cordero,Chad,239,MON,NL,3,0,0,0,0.0,0.0
Cordero,Francisco,240,TEX,AL,0,0,0,0,,
Cordero,Wil,241,FLA,NL,72,1,6,1,0.197,0.538
Corey,Mark,242,PIT,NL,1,0,0,0,0.0,0.0
Cormier,Lance,243,ARI,NL,10,0,1,0,0.25,0.708
Cormier*,Rheal,244,PHI,NL,1,0,0,0,0.0,0.0
Correia,Kevin,245,SFG,NL,4,0,0,0,0.333,1.167
Cota,Humberto,246,PIT,NL,70,5,8,0,0.227,0.771
Cotts*,Neal,247,CHW,AL,1,0,0,0,1.0,3.0
Counsell*,Craig,248,MIL,NL,551,2,23,17,0.241,0.645
Crawford*,Carl,249,TBD,AL,672,11,55,59,0.296,0.781
Crede,Joe,250,CHW,AL,543,21,69,1,0.239,0.717
Crespo#,Cesar,251,BOS,AL,79,0,2,2,0.165,0.38
Crisp#,Coco,252,CLE,AL,538,15,71,20,0.297,0.79
