,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
2,Abreu,Bobby,4,PHI,NL,713,30,105,40,0.301,0.971,0.432,6.6,158,157,-16,OF,0
13,Alfonzo,Edgardo,16,SFG,NL,576,11,77,1,0.289,0.757,0.345,0.6,133,127,-3,3B-2B,0
19,Alou,Moises,24,CHC,NL,675,39,106,3,0.293,0.919,0.401,4,154,152,-11,OF,0
39,Bagwell,Jeff,49,HOU,NL,679,27,89,6,0.266,0.842,0.379,3.7,152,151,6,1B,0
41,Baldelli,Rocco,51,TBD,AL,565,16,74,17,0.28,0.762,0.338,3,124,120,-6,OF,0
47,Barrett,Michael,57,CHC,NL,506,16,65,1,0.287,0.826,0.352,1.5,130,119,-3,C,0
51,Batista,Tony,61,MON,NL,650,32,110,14,0.241,0.728,0.316,-0.1,155,149,5,3B,0
53,Bautista,Danny,63,ARI,NL,582,11,65,6,0.286,0.733,0.327,-1.2,137,137,-8,OF,0
60,Bell,David,74,PHI,NL,603,18,77,1,0.291,0.821,0.366,4.4,142,141,13,3B,0
63,Bellhorn,Mark,77,BOS,AL,620,17,82,6,0.264,0.817,0.37,3.7,136,132,4,2B-3B-SS,0
64,Belliard,Ronnie,78,CLE,AL,663,12,70,3,0.282,0.774,0.351,3.4,151,148,-3,2B,0
67,Beltrán,Carlos,79,TOT,MLB,708,38,104,42,0.267,0.915,0.4,6.8,158,157,-5,OF,0
68,Beltré,Adrián,86,LAD,NL,657,48,121,7,0.334,1.017,0.435,9.6,155,154,29,3B-SS,0
78,Berkman,Lance,98,HOU,NL,687,30,106,9,0.316,1.016,0.433,6,160,158,-3,OF-1B,0
80,Berroa,Angel,100,KCR,AL,554,8,43,14,0.262,0.693,0.322,1,133,132,-10,SS,0
85,Bigbie,Larry,105,BAL,AL,531,15,68,8,0.28,0.768,0.352,2.1,134,131,-3,OF,0
86,Biggio,Craig,106,HOU,NL,700,24,63,7,0.281,0.806,0.359,1.2,149,149,-15,OF,0
87,Blake,Casey,107,CLE,AL,668,28,88,5,0.271,0.839,0.361,3.5,152,151,-12,3B-1B,0
88,Blalock,Hank,108,TEX,AL,713,32,110,2,0.276,0.855,0.375,4.6,159,154,1,3B,0
96,Bonds,Barry,116,SFG,NL,617,45,101,6,0.362,1.422,0.552,10.6,133,132,2,OF,1
98,Boone,Bret,118,SEA,AL,658,24,83,10,0.251,0.74,0.324,0.5,148,148,-11,2B,0
107,Bradley,Milton,129,LAD,NL,597,19,67,15,0.267,0.786,0.35,3.1,138,137,15,OF,0
133,Burnitz,Jeromy,161,COL,NL,606,37,110,5,0.283,0.916,0.386,1.3,143,137,-9,OF,0
134,Burrell,Pat,162,PHI,NL,534,24,84,2,0.257,0.821,0.365,1.5,122,121,1,OF,0
135,Burroughs,Sean,163,SDP,NL,564,2,47,5,0.298,0.713,0.331,3.2,125,119,-4,3B,0
141,Byrnes,Eric,169,OAK,AL,632,20,73,17,0.283,0.814,0.361,3.4,141,137,9,OF,0
145,Cabrera,Miguel,172,FLA,NL,685,33,112,5,0.294,0.879,0.384,3.5,158,158,-10,OF,0
146,Cabrera,Orlando,173,TOT,MLB,673,10,62,16,0.264,0.689,0.318,1.4,158,157,0,SS,0
151,Cameron,Mike,180,NYM,NL,562,30,76,22,0.231,0.798,0.348,1.5,135,132,-2,OF,0
160,Casey,Sean,189,CIN,NL,633,24,99,2,0.324,0.915,0.404,4.4,145,142,4,1B,0
162,Castilla,Vinny,191,COL,NL,648,35,131,0,0.271,0.867,0.369,3.1,148,147,17,3B,0
165,Castillo,Luis,194,FLA,NL,649,2,47,21,0.291,0.72,0.347,3.9,148,147,17,2B,0
173,Chavez,Endy,203,MON,NL,547,5,34,32,0.277,0.688,0.321,1.8,127,122,15,OF,0
174,Chavez,Eric,204,OAK,AL,577,29,77,6,0.276,0.898,0.392,5.5,125,125,15,3B-OF,0
181,Cintron,Alex,214,ARI,NL,613,4,49,3,0.262,0.665,0.293,-0.2,148,142,7,SS-2B-3B,0
188,Clayton,Royce,221,COL,NL,652,8,54,10,0.279,0.735,0.328,1.1,144,140,-7,SS,0
198,Conine,Jeff,231,FLA,NL,579,14,83,5,0.28,0.772,0.344,2.1,138,138,14,OF-1B,0
214,Counsell,Craig,248,MIL,NL,551,2,23,17,0.241,0.645,0.301,1,130,128,5,SS-3B,0
215,Crawford,Carl,249,TBD,AL,672,11,55,59,0.296,0.781,0.359,4.9,145,140,16,OF,0
216,Crede,Joe,250,CHW,AL,543,21,69,1,0.239,0.717,0.318,0.2,144,142,-9,3B,0
218,Crisp,Coco,252,CLE,AL,538,15,71,20,0.297,0.79,0.344,3.3,128,121,4,OF,0
219,Crosby,Bobby,253,OAK,AL,623,22,64,7,0.239,0.744,0.339,3.3,151,151,-8,SS,0
225,Cruz,José,259,TBD,AL,636,21,78,11,0.242,0.766,0.336,1.7,152,148,18,OF,0
