Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1,David Aardsma,SEA,AL,0,0,0,0,,,73,0,,P,0.373,0
2,Bobby Abreu*,LAA,AL,667,15,103,30,0.293,0.825,136,136,-7,OF,0.305,3.2
3,Tony Abreu#,LAD,NL,11,0,1,0,0.25,0.705,2,2,1,3B-2B,0,0.2
4,Winston Abreu,TOT,AL,0,0,0,0,,,5,0,,P,0.355,0
5,Winston Abreu,TBR,AL,0,0,0,0,,,26,0,,P,0.203,0
6,Jeremy Accardo,TOR,AL,0,0,0,0,,,43,1,,P,0.408,0
7,Alfredo Aceves,NYY,AL,2,0,0,0,0,0,36,0,,P,0,0
8,Manny Acosta,ATL,NL,2,0,0,0,0,0.5,37,0,,P,0.202,0
9,Mike Adams,SDP,NL,0,0,0,0,,,5,3,-1,OF,0.291,-0.1
10,Russ Adams*,TOR,AL,21,0,0,0,0.2,0.438,1,1,,P,0.223,
11,Jeremy Affeldt*,SFG,NL,2,0,0,0,0.5,1,74,0,,P,0,0
12,Jonathan Albaladejo,NYY,AL,0,0,0,0,,,32,0,,P,0.294,0
13,Matt Albers*,BAL,AL,1,0,0,0,0,0,56,0,,P,0.281,0
14,Eliezer Alfonzo,SDP,NL,117,2,8,0,0.175,0.451,30,28,2,C,0.42,-0.2
15,Brandon Allen*,ARI,NL,116,4,14,0,0.202,0.669,32,29,-3,1B,0.312,-0.9
16,Alfredo Amezaga#,FLA,NL,75,0,5,1,0.217,0.528,21,13,3,OF-SS,0.283,-0.3
17,Brett Anderson*,OAK,AL,3,0,0,0,0,0,30,30,,P,0.296,-0.1
18,Brian Anderson,TOT,AL,231,4,18,3,0.243,0.674,83,55,-1,OF,0.263,-0.6
19,Brian Anderson,CHW,AL,210,2,13,3,0.238,0.641,124,123,1,OF,0,-1.4
20,Brian Anderson,BOS,AL,21,2,5,0,0.294,1.028,107,70,0,OF,0.278,-0.9
21,Garret Anderson*,ATL,NL,534,13,61,1,0.268,0.705,74,58,0,SS-2B-3B-OF,0.329,
22,Josh Anderson*,TOT,AL,298,1,24,25,0.24,0.58,145,140,8,SS,0.298,0
23,Josh Anderson*,DET,AL,175,0,16,13,0.242,0.597,101,90,6,OF,0.355,3.6
24,Josh Anderson*,KCR,AL,123,1,8,12,0.237,0.556,10,0,,P,0,0.4
25,Marlon Anderson*,NYM,NL,4,0,0,0,0,0,42,0,,P,0.12,0
26,Robert Andino,BAL,AL,215,2,10,3,0.222,0.562,3,2,-2,2B-3B,0,0
27,Elvis Andrus,TEX,AL,541,6,40,33,0.267,0.702,43,0,,P,0,-0.4
28,Rick Ankiel*,STL,NL,404,11,38,4,0.231,0.672,33,33,,P,0.304,0
29,Greg Aquino,CLE,AL,0,0,0,0,,,16,0,,P,0.365,-0.5
30,Alberto Arias,HOU,NL,2,0,0,0,0,0.5,3,0,,P,0.177,0
31,Joaquin Arias,TEX,AL,9,0,0,0,0,0,95,86,4,3B-1B,0.236,0
32,Jose Arredondo,LAA,AL,0,0,0,0,,,2,0,,P,0.326,-1.2
33,Bronson Arroyo,CIN,NL,76,0,0,0,0.113,0.274,25,21,0,1B,0.405,0
34,Jose Ascanio,TOT,NL,2,0,0,0,0,0,7,2,,P,0.22,0.4
35,Jose Ascanio,CHC,NL,2,0,0,0,0,0,35,22,4,1B-3B,,0
36,Jose Ascanio,PIT,NL,0,0,0,0,,,30,27,1,C,,-1.1
37,Jairo Asencio,ATL,NL,0,0,0,0,,,25,17,0,C,0.343,0.4
38,Garrett Atkins,COL,NL,399,9,48,0,0.226,0.65,35,34,2,SS-3B,0.335,0.6
39,Mitch Atkins,CHC,NL,0,0,0,0,,,7,0,,P,0.355,-0.7
40,Michael Aubrey*,BAL,AL,95,4,14,0,0.289,0.826,38,0,,P,0,0
41,Bryan Augenstein,ARI,NL,4,0,0,0,0,0.25,136,135,6,SS,0.816,0
42,Rich Aurilia,SFG,NL,133,2,16,0,0.213,0.534,70,53,-4,1B-2B-3B,0.07,3.4
43,Brad Ausmus,LAD,NL,107,1,9,1,0.295,0.712,5,1,,P,0.339,-0.2
44,Alex Avila*,DET,AL,72,5,14,0,0.279,0.965,35,2,,P,0.351,0
45,Mike Aviles,KCR,AL,127,1,8,1,0.183,0.458,59,0,,P,0.178,-0.2
46,John Axford,MIL,NL,0,0,0,0,,,68,0,,P,0.37,0.1
47,Luis Ayala,TOT,MLB,1,0,0,0,,,20,20,,P,0.341,0
48,Luis Ayala,MIN,AL,1,0,0,0,,,26,21,2,1B-OF,0,-0.5
49,Luis Ayala,FLA,NL,0,0,0,0,,,69,55,6,2B-3B-1B,0.299,0.1
50,Erick Aybar#,LAA,AL,556,5,58,14,0.312,0.776,105,99,-7,C,0.353,1.1
51,Willy Aybar#,TBR,AL,336,12,41,1,0.253,0.747,33,33,,P,0.311,0.6
52,Brandon Backe,HOU,NL,2,0,0,0,0,0.5,42,33,-1,C,0.279,-0.1
53,Burke Badenhop,FLA,NL,13,0,1,0,0,0,45,34,-6,OF-3B,0.354,0
54,Danys Báez,BAL,AL,1,0,0,0,1,2,42,0,,P,0.18,0.6
55,Andrew Bailey,OAK,AL,0,0,0,0,,,83,65,6,OF,0.237,0
56,Homer Bailey,CIN,NL,43,0,2,0,0.079,0.158,7,7,,P,0.182,1
57,Jeff Bailey,BOS,AL,91,3,9,0,0.208,0.745,73,0,,P,0.292,0
58,Jeff Baker,TOT,NL,248,4,24,1,0.288,0.768,6,3,,P,0.29,0
59,Jeff Baker,COL,NL,24,0,3,1,0.13,0.384,26,26,,P,0.311,0.1
60,Jeff Baker,CHC,NL,224,4,21,0,0.305,0.81,120,110,4,C,0.341,0
61,John Baker*,FLA,NL,423,9,50,0,0.271,0.759,49,0,,P,0.303,0.9
62,Scott Baker,MIN,AL,6,0,0,0,0,0,79,71,-4,C,0.323,0
63,Paul Bako*,PHI,NL,130,3,9,0,0.224,0.644,48,24,2,3B-SS-2B,0.211,-1.2
64,Rocco Baldelli,BOS,AL,164,7,23,1,0.253,0.744,9,3,-2,2B-OF,0.396,0.1
65,John Bale*,KCR,AL,0,0,0,0,,,6,1,0,1B,0.345,0.1
66,Wladimir Balentien,TOT,MLB,295,7,24,2,0.234,0.69,152,142,13,2B-SS,0,-0.1
67,Wladimir Balentien,SEA,AL,170,4,13,1,0.213,0.625,7,4,-1,C,0,2.2
68,Wladimir Balentien,CIN,NL,125,3,11,1,0.264,0.779,134,133,-3,SS,0.418,0
69,Collin Balester,WSN,NL,11,0,0,0,0.125,0.347,1,0,0,OF,0,6.2
70,Grant Balfour,TBR,AL,0,0,0,0,,,51,46,-1,1B,0.351,0
71,Josh Banks,SDP,NL,6,0,0,0,0,0.333,48,0,,P,0.406,0.9
