Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos
Ackley,Dustin,6,SEA,AL,542,14,65,8,0.245,0.692,0.306,1.9,133,127,9,OF
Adams,Matt,9,STL,NL,563,15,68,3,0.288,0.779,0.342,2.2,133,132,-7,1B
Altuve,Jose,25,HOU,AL,707,7,59,56,0.341,0.83,0.385,5.5,156,156,1,2B
Andrus,Elvis,35,TEX,AL,685,2,41,27,0.263,0.647,0.299,0.8,153,152,-7,SS
Aoki,Nori,37,KCR,AL,549,1,43,17,0.285,0.71,0.329,1.1,120,119,2,OF
Aybar,Erick,56,LAA,AL,642,7,68,16,0.278,0.7,0.316,3.9,155,154,-11,SS
Bautista,José,77,TOR,AL,673,35,103,6,0.286,0.928,0.414,6.9,141,141,-2,OF-1B
Beltré,Adrián,96,TEX,AL,614,19,77,1,0.324,0.879,0.391,6.2,136,136,-8,3B
Blackmon,Charlie,110,COL,NL,648,19,72,28,0.288,0.775,0.348,2,142,135,8,OF
Bogaerts,Xander,120,BOS,AL,594,12,46,2,0.24,0.66,0.3,0.7,143,142,-12,SS-3B
Brantley,Michael,133,CLE,AL,676,20,97,23,0.327,0.89,0.407,7,147,146,-17,OF
Braun,Ryan,134,MIL,NL,580,19,81,11,0.266,0.777,0.348,1.2,134,133,10,OF
Brown,Domonic,144,PHI,NL,512,10,63,7,0.235,0.634,0.294,-1.3,127,117,0,OF
Bruce,Jay,149,CIN,NL,545,18,66,12,0.217,0.654,0.295,-0.8,133,131,4,OF-1B
Byrd,Marlon,169,PHI,NL,637,25,85,3,0.264,0.757,0.341,3.3,149,147,-1,OF
Cabrera,Miguel,175,DET,AL,685,25,109,1,0.313,0.895,0.39,5.1,140,140,6,SS-2B
Cabrera,Asdrúbal,170,TOT,MLB,616,14,61,10,0.241,0.694,0.321,1.7,136,135,-14,OF
Cabrera,Melky,174,TOR,AL,621,16,73,6,0.301,0.808,0.369,3.5,133,133,5,1B-3B
Cain,Lorenzo,177,KCR,AL,502,5,53,28,0.301,0.751,0.342,4.4,133,122,20,OF
Calhoun,Kole,179,LAA,AL,537,17,58,5,0.272,0.776,0.354,4,124,112,0,OF-1B
Canó,Robinson,188,SEA,AL,665,14,82,10,0.314,0.836,0.367,6.3,150,149,8,2B
Carpenter,Matt,197,STL,NL,709,8,59,5,0.272,0.75,0.344,2.9,156,155,-1,3B-OF
Castellanos,Nick,205,DET,AL,579,11,66,2,0.259,0.7,0.316,-0.1,145,141,-29,3B
Castro,Starlin,209,CHC,NL,569,14,65,4,0.292,0.777,0.343,2.4,133,133,-2,SS
Chisenhall,Lonnie,230,CLE,AL,533,13,59,3,0.28,0.77,0.342,1.5,122,113,-18,3B-1B
Cozart,Zack,272,CIN,NL,543,4,38,7,0.221,0.568,0.268,1.9,147,143,16,SS
Craig,Allen,273,TOT,MLB,505,8,46,2,0.215,0.594,0.28,-1,123,118,-1,OF-1B
Crawford,Brandon,276,SFG,NL,564,10,69,5,0.246,0.713,0.311,3.4,149,142,15,SS
Céspedes,Yoenis,216,TOT,AL,645,22,100,7,0.26,0.751,0.338,4.4,127,125,-6,OF
Davis,Khris,298,MIL,NL,549,22,69,4,0.244,0.756,0.345,1.7,125,123,-1,1B-3B
Davis,Chris,294,BAL,AL,525,26,72,2,0.196,0.704,0.314,1.1,134,131,13,OF
Desmond,Ian,325,WSN,NL,648,24,91,24,0.255,0.743,0.341,4.1,154,154,3,SS
De Aza,Alejandro,301,TOT,AL,528,8,41,17,0.252,0.7,0.313,1.2,140,129,-4,OF
Dominguez,Matt,340,HOU,AL,607,16,57,0,0.215,0.586,0.259,-1.1,153,147,-1,3B
Donaldson,Josh,341,OAK,AL,695,29,98,8,0.255,0.798,0.361,6.9,150,146,24,3B
Dozier,Brian,349,MIN,AL,707,23,71,21,0.242,0.762,0.35,5.5,156,155,-11,2B
Duda,Lucas,354,NYM,NL,596,30,92,3,0.253,0.83,0.366,3.8,146,136,-2,1B-OF
Eaton,Adam,367,CHW,AL,538,1,35,15,0.3,0.763,0.349,5.2,121,121,0,OF
Ellsbury,Jacoby,374,NYY,AL,635,16,70,39,0.271,0.747,0.343,3.6,141,138,1,OF
Escobar,Alcides,379,KCR,AL,620,3,50,31,0.285,0.694,0.322,2.7,162,162,-5,SS
Escobar,Yunel,381,TBR,AL,529,7,39,1,0.258,0.664,0.309,-0.2,136,134,-16,SS-OF
Frazier,Todd,433,CIN,NL,660,29,80,20,0.273,0.795,0.362,4.7,156,155,8,3B-1B
