Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
A. Taylor,Michael,1344,WSN,NL,511,14,63,16,0.229,0.64,0.292,0.4,132,121,11,OF,0
Altuve,Jose,26,HOU,AL,689,15,66,38,0.313,0.812,0.359,4,153,153,13,2B,0
Andrus,Elvis,38,TEX,AL,661,7,62,25,0.258,0.667,0.308,1.8,160,159,14,SS,0
Arenado,Nolan,44,COL,NL,665,42,130,2,0.287,0.898,0.378,6.3,157,156,3,3B,0
Aybar,Erick,59,LAA,AL,638,3,44,15,0.27,0.639,0.292,2.2,154,154,-16,SS,0
Belt,Brandon,97,SFG,NL,556,18,68,9,0.28,0.834,0.368,4.1,131,130,13,1B-OF,0
Beltrán,Carlos,98,NYY,AL,531,19,67,0,0.276,0.808,0.347,1.1,123,120,-7,OF,0
Beltré,Adrián,99,TEX,AL,619,18,83,1,0.287,0.788,0.352,4.4,142,142,11,3B,0
Betts,Mookie,108,BOS,AL,654,18,77,21,0.291,0.82,0.368,6.1,144,141,-7,OF,0
Blackmon,Charlie,112,COL,NL,682,17,58,43,0.287,0.797,0.361,2,155,146,-3,OF,0
Bogaerts,Xander,125,BOS,AL,654,7,81,10,0.32,0.776,0.348,4.3,156,154,-11,SS,0
Braun,Ryan,145,MIL,NL,568,25,84,24,0.285,0.854,0.383,3.3,130,128,-2,OF,0
Bruce,Jay,163,CIN,NL,649,26,87,9,0.226,0.729,0.315,0.9,150,150,1,OF,0
Bryant,Kris,164,CHC,NL,650,26,99,13,0.275,0.858,0.383,5.3,150,147,0,3B-OF-1B,0
Burns,Billy,173,OAK,AL,555,5,42,26,0.294,0.726,0.322,3.2,125,118,-13,OF,0
Byrd,Marlon,182,TOT,NL,544,23,73,2,0.247,0.743,0.334,1.4,129,126,7,OF,0
Cabrera,Asdrúbal,185,TBR,AL,551,15,58,6,0.265,0.744,0.317,1.6,136,131,-13,SS,0
Cabrera,Melky,187,CHW,AL,683,12,77,3,0.273,0.709,0.315,1.5,150,150,-4,OF,0
Cain,Lorenzo,193,KCR,AL,604,16,72,28,0.307,0.838,0.375,7,137,137,6,OF,0
Calhoun,Kole,195,LAA,AL,686,26,83,4,0.256,0.731,0.32,3.1,157,157,14,OF-1B,0
Canó,Robinson,204,SEA,AL,674,21,79,2,0.287,0.779,0.349,3.5,149,149,1,2B,0
Carpenter,Matt,212,STL,NL,665,28,84,4,0.272,0.871,0.382,5,152,151,-4,3B-2B-1B,0
Castellanos,Nick,220,DET,AL,595,15,73,0,0.255,0.721,0.314,1.3,145,142,-9,3B,0
Castro,Starlin,233,CHC,NL,578,11,69,5,0.265,0.671,0.298,0.4,144,133,3,SS-2B,0
Cervelli,Francisco,241,PIT,NL,510,7,43,1,0.295,0.771,0.352,3.4,128,124,-11,C,0
Choo,Shin-Soo,255,TEX,AL,653,22,82,4,0.276,0.838,0.37,3.2,148,144,2,OF,0
Coghlan,Chris,265,CHC,NL,503,16,41,11,0.25,0.784,0.347,2.2,133,119,0,OF-2B-1B-3B,0
Crawford,Brandon,303,SFG,NL,561,21,84,6,0.256,0.782,0.341,5.8,140,136,20,SS,0
Céspedes,Yoenis,242,TOT,MLB,676,35,105,7,0.291,0.87,0.374,6.2,153,152,15,OF,0
Davis,Chris,321,BAL,AL,670,47,117,2,0.262,0.923,0.395,4.9,138,137,-4,1B-OF,0
Desmond,Ian,349,WSN,NL,641,19,62,13,0.233,0.674,0.308,2,155,155,-9,SS,0
Donaldson,Josh,368,TOR,AL,711,41,123,6,0.297,0.939,0.403,7.1,150,150,4,3B,1
Dozier,Brian,371,MIN,AL,704,28,77,12,0.236,0.751,0.326,2.8,157,157,-7,2B,0
Duda,Lucas,375,NYM,NL,554,27,73,0,0.244,0.838,0.363,2.8,129,127,-5,1B,0
Eaton,Adam,388,CHW,AL,689,14,56,18,0.287,0.792,0.351,4.1,145,144,-9,OF,0
Escobar,Alcides,401,KCR,AL,662,3,47,17,0.257,0.614,0.281,1,148,148,8,SS,0
Escobar,Yunel,403,WSN,NL,591,9,56,2,0.314,0.79,0.359,2,134,134,-16,3B,0
Flores,Wilmer,433,NYM,NL,510,16,59,0,0.263,0.703,0.315,1.2,134,126,-8,SS-2B,0
Forsythe,Logan,437,TBR,AL,615,17,68,9,0.281,0.804,0.355,4.6,143,142,-6,2B-1B-3B,0
Fowler,Dexter,438,CHC,NL,690,17,46,20,0.25,0.757,0.348,2.4,152,149,3,OF,0
Frazier,Todd,446,CIN,NL,678,35,89,13,0.255,0.806,0.351,3.5,155,155,-1,3B,0
Galvis,Freddy,459,PHI,NL,603,7,50,10,0.263,0.645,0.296,0.1,149,147,-12,SS-2B,0
García,Avisaíl,462,CHW,AL,601,13,59,7,0.257,0.675,0.301,0.3,130,129,-1,OF,0
Gardner,Brett,469,NYY,AL,656,16,66,20,0.259,0.742,0.339,3.6,150,140,-10,OF,0
Giavotella,Johnny,482,LAA,AL,502,4,49,2,0.272,0.694,0.309,1.2,128,124,-9,2B-SS,0
Goldschmidt,Paul,496,ARI,NL,695,33,110,21,0.321,1.005,0.432,8.3,157,155,5,1B,0
González,Adrián,508,LAD,NL,643,28,90,0,0.275,0.83,0.365,4.6,149,145,16,1B,0
González,Carlos,509,COL,NL,608,40,97,2,0.271,0.864,0.37,2.6,151,142,-8,OF,0
Gose,Anthony,518,DET,AL,535,5,26,23,0.254,0.688,0.315,0.8,137,125,-16,OF,0
Granderson,Curtis,527,NYM,NL,682,26,70,11,0.259,0.821,0.363,5.1,150,143,4,OF,0
Gregorius,Didi,536,NYY,AL,578,9,56,5,0.265,0.688,0.312,3,155,147,2,SS,0
Harper,Bryce,576,WSN,NL,654,42,99,6,0.33,1.109,0.466,9.7,151,151,13,OF,1
Headley,Chase,589,NYY,AL,642,11,62,0,0.259,0.693,0.309,0.8,155,148,2,3B-1B,0
Herrera,Odúbel,610,PHI,NL,537,8,41,16,0.297,0.762,0.341,4.1,136,121,15,OF,0
Heyward,Jason,614,STL,NL,610,13,60,23,0.293,0.797,0.364,6.9,147,144,5,OF,0
Holt,Brock,627,BOS,AL,509,2,45,8,0.28,0.727,0.33,2.7,125,115,8,2B-OF-3B-SS-1B,0
Hosmer,Eric,632,KCR,AL,667,18,93,7,0.297,0.822,0.357,4.3,154,152,-5,1B-OF,0
Hunter,Torii,645,MIN,AL,567,22,81,2,0.24,0.702,0.305,-0.7,123,121,0,OF,0
Inciarte,Ender,650,ARI,NL,561,6,45,21,0.303,0.747,0.34,5,122,116,7,OF,0
Jackson,Austin,656,TOT,MLB,527,9,48,17,0.267,0.696,0.308,1.6,135,111,-2,OF,0
Jones,Adam,694,BAL,AL,581,27,82,3,0.269,0.782,0.337,3.5,134,134,15,OF,0
Kemp,Matt,714,SDP,NL,648,23,100,12,0.265,0.755,0.339,0.5,149,149,-3,OF,0
Kiermaier,Kevin,721,TBR,AL,535,10,40,18,0.263,0.718,0.322,7.1,149,131,19,OF,0
Kinsler,Ian,723,DET,AL,675,11,73,10,0.296,0.77,0.341,4.7,153,151,11,2B,0
Kipnis,Jason,725,CLE,AL,641,9,52,12,0.303,0.823,0.36,4,124,124,-1,2B,0
Lawrie,Brett,764,OAK,AL,602,16,60,5,0.26,0.706,0.317,1.7,147,146,-10,3B-2B,0
LeMahieu,DJ,773,COL,NL,620,6,61,23,0.301,0.746,0.345,1.8,149,146,8,2B,0
Lind,Adam,782,MIL,NL,572,20,87,0,0.277,0.82,0.362,3.6,138,134,5,1B,0
Longoria,Evan,794,TBR,AL,670,21,73,3,0.27,0.764,0.332,4.5,148,147,18,3B,0
Machado,Manny,809,BAL,AL,713,35,86,20,0.286,0.861,0.375,7.5,162,162,5,3B-SS,0
Markakis,Nick,821,ATL,NL,686,3,53,2,0.296,0.746,0.345,2,153,153,-5,OF,0
Marte,Starling,829,PIT,NL,633,19,81,30,0.287,0.78,0.354,5,151,143,-3,OF,0
Martinez,J.D.,837,DET,AL,657,38,102,3,0.282,0.879,0.375,5.4,148,147,7,OF,0
Mauer,Joe,852,MIN,AL,666,10,66,2,0.265,0.718,0.328,1.3,137,135,-3,1B,0
Maybin,Cameron,857,ATL,NL,555,10,59,23,0.267,0.697,0.324,0.6,139,126,-20,OF,0
McCann,Brian,862,NYY,AL,535,26,94,0,0.232,0.756,0.329,2.8,126,119,4,C-1B,0
McCutchen,Andrew,866,PIT,NL,685,23,96,11,0.292,0.889,0.39,5,152,151,4,OF,0
Molina,Yadier,897,STL,NL,530,4,61,3,0.27,0.66,0.294,1.6,134,131,9,C,0
Moreland,Mitch,909,TEX,AL,515,23,85,1,0.278,0.812,0.353,2.3,120,110,2,1B,0
Morrison,Logan,914,SEA,AL,511,17,54,8,0.225,0.685,0.303,-0.1,143,117,-9,1B-OF,0
Moss,Brandon,921,TOT,MLB,526,19,58,0,0.226,0.711,0.307,-0.3,130,121,0,OF-1B,0
Moustakas,Mike,925,KCR,AL,614,22,82,1,0.284,0.817,0.357,4.1,146,140,-3,3B,0
Murphy,Daniel,933,NYM,NL,538,14,73,2,0.281,0.77,0.33,1.2,121,120,-5,2B-3B-1B,0
Norris,Derek,975,SDP,NL,557,14,62,4,0.25,0.709,0.323,2.5,137,131,4,C-1B,0
Owings,Chris,1006,ARI,NL,552,4,43,16,0.227,0.587,0.268,-0.2,138,130,-2,2B-SS,0
Pagán,Ángel,1009,SFG,NL,551,3,37,12,0.262,0.635,0.288,-1.8,124,122,-14,OF,0
Parra,Gerardo,1019,TOT,MLB,589,14,51,14,0.291,0.78,0.341,1.2,144,126,-4,OF,0
Pederson,Joc,1030,LAD,NL,585,26,54,4,0.21,0.763,0.337,2.6,147,137,5,OF,0
Peralta,Jhonny,1044,STL,NL,640,17,71,1,0.275,0.745,0.338,1.2,131,115,2,OF,0
Peralta,David,1043,ARI,NL,517,17,78,9,0.312,0.893,0.391,3.6,148,147,-12,SS,0
Perez,Salvador,1059,KCR,AL,553,21,70,1,0.26,0.706,0.316,2.4,140,137,6,C-1B,0
Peterson,Jace,1063,ATL,NL,597,6,52,12,0.239,0.649,0.29,1,144,137,-6,2B,0
